address,ste,tickets
terra17mczukfnkxyzv9ahz33tjpn5eu29nv3dxp28a6,370.28,1
terra17ms25flfhlg4mh6rqyntfwk8jl744qy0ee39r4,385.48,1
terra17md5k9qp2j48aczqpk0zdpxekc53ma6c2nf9uz,256.91,1
terra176ep9eknwyn5asv98zv67gpz7uuwtnsputsehg,251,1
terra17e895kp2agscfvf0lwrmsgkpj7spp8uusx9l7q,298.86,1
terra17eyuwh555eq90mt7e34gwfeemrx3tgkn65thw4,342.40,1
terra17cn7te26d8qc9j6zg3nqzd2xjxnuwtacdte3j2,891.37,3
terra17c33807cl5083s4y4vpevrtkrw5ewvum7kyzux,250,1
terra17c8ctlgvfuyy9v69suh5k5fqvlarskrvg5x00x,316.69,1
terra17hdrsu07khnqs5de7mhr7klg8zfqgt97ecyq4c,340,1
terra17hyn20rajptyp3q32dp9mr06lrkjlvvapkzpht,251.30,1
terra17hqtmea2fahekjptprlhd0ecwpnqcvqgqayc9d,257.16,1
terra17ksnfmqjv3qyd49c0j2jyk2q2cydvx30e0xrtm,307.42,1
terra17k2p0hp9mvc54j6hrxsa8pw8dj7udn5sw8juvd,274.43,1
terra174fzaef3jpvnh2y82vpnst7wjwkg8ma0jp2nat,252.21,1
terra175d5e5yf3nt6uud0uvhshnq97a3wh7htjsk4zd,261.21,1
terra17n7dvurn0yrl9f6l22zpf0ynzaqa944mraj5d5,1666.68,6
terra17na4n57akcjmzefv56g3nq5wnqpsvmng9mhxtw,251.99,1
terra17n33wuqmwhfpgq25djcwx4fcs0x56z0529466e,303.37,1
terra17nrms53728zxhcduffjqc8xgq5qfu4ppapft9c,251.01,1
terra17jm9sf3874x30tmxece939ujn9as3tnmvkm7el,501.78,2
terra173dfj83tzsdjfapqjj3jh44fzhqtwtzvhk7mcs,267.55,1
terra173v92eu6fes6rjsr9fqdkftlzqtu9avee0gjsu,1044.16,4
terra17wx287juup445gz7r0zqpdcpe22hcua86yyv4k,2064.62,8
terra17ds8z2k7k55hksuadxh2qzt5ed3wf0t2zggk0s,321.85,1
terra17dv8vf76773aw9h2kuq9f9qzaq9z2500elepvh,752.26,3
terra17vu0n636tpjcn4g5uxxrhguj0752y732uzcpg7,1009.76,4
terra17v6y8rmlxj5vdmq9s99f8f48xneq26ssn4ys7a,250.84,1
terra17vtu7ujw7r6x34wwy4rmt2rh27q9rx5ljhv9vp,940.16,3
terra17vtvct09e0ru54yyrafhrpufqzxcq8lhfm2p36,256.62,1
terra17vtvq356h8tyx6pu6eu78p7jzla6an2gy9a5z3,253.02,1
terra17vx0qyawkscvuu2zsdwj6w9ghwjej9dehztxx0,503.85,2
terra17vq2n5dattcqfr58c56gkh0vgyvgp2ckkhh70q,453.18,1
terra17tlke6sl77rnuqle99tl8zfk7gmj8jc04czvz8,252.23,1
terra17tcm3rrymgxaharzchxsqgp0fdvptd348jpjaa,250.55,1
terra17tdxz4xcrk9z7tqdevcxx64mjkd7707eprjm02,773.23,3
terra17f5gv43qutuawtsnm26lqe5upzqzcqcmvjgra8,583.46,2
terra17fp4kpkanffndd7c8zps574ygy7hxshgqljv55,255.10,1
terra17fpf7ku9c3jnexyr46wq4xmn9wfefal6fwd0ch,275,1
terra17ghq6wut8my69hglyucr52kvu6m7qnrl22et6m,270.86,1
terra17g3t6xlsgumlrnay6mxyhkkzlygkrz0gekvmjr,257.72,1
terra1784s60xkt3jhxatz9pcjnpkepnevd83zp9vn9f,799.25,3
terra178dz79hs3rncf37v9q0uxvmvekcrt6qjsyvwxp,250.78,1
terra17xn23h9uqvwrh34xlllux8jzsggk905hyvs564,257.98,1
terra17xd2ydtxxcw554ahusqjmqdddeyt4uyjph5ddh,315.59,1
terra17xfrpl48y5na5ehszkkeyg2fxpuve3rcl5jkyx,251,1
terra17xzdwvv83kzjppju7c5qrafjzz8k5jxca3txr5,255.69,1
terra179unn6w83y782hdle409yquve0ug579922vv2h,696.14,2
terra179fjv3jfy0funtdl9he9tktkhs9uqqh76a7vl0,459.01,1
terra17yuz8x2fwtzdv75n75xwwlgeclnsnhvyfhc5xe,2790.84,11
terra17ym9xd7y69v7qq6ezq7lsv0rmlvc94hnjgtc2h,260.52,1
terra17y0wlxdk0qtqykayphgsf7cpf0hasr6le90mrk,253.97,1
terra17y0gqytnut7227ucs3v3rqaf3qm7jns3umwueu,250.21,1
terra17yg3fk4fldhcn3kdwjt4c7suyqvfncfkpeqth4,251.46,1
terra17yquzveajnf2q2ujxqkl4245sqptptvmjqkdj4,254.95,1
terra17rv4l6s8fl272evfzeqa5fjcgfdurvty8n752y,260.63,1
terra17rrlcuaya275m3cfxj2peg5adtynwsusruwusa,2879.80,11
terra17zu4vy332sy9werem0saqngm4jwdf03sf9ltss,338.80,1
terra17zcjm9vzqzpwg8s3zxjkp7lj6fm5twca0jtxtd,253.54,1
terra17z5ddtp3r6qfua0aq28rkn8kkvfse2ux0ds2v0,527.98,2
terra17z0cksa30udclvp6vzamr3jwqn47evmjzz02gf,256.94,1
terra17zwfvqcln3g2k2dldyq8glez0xndlwk6ympe05,272.46,1
terra17ztydxz6nwmmvp0mh4ntrja2dz39rjkky0rplm,758.16,3
terra17pur27ay3gwed9tsv0mtz2j32sjaqw9k3g57el,251.57,1
terra17p339c8rgmmxt3ycmrpgs5vd8gxe4swekss0zw,422.23,1
