staker,lp,stt,ste,faction
terra1lr7cf...w5yk,1.052557,1,2.3156962500000002,degens
terra1lrh6z...rcud,249.409016,2,313.76127,degens
terra1lr2xl...maxz,0.478548,2,2.598185,degens
terra1lzka4...ankw,511,1122,1760.75,degens
terra1lz5r8...3a7y,150.548844,41.369674,229.555729,degens
terra1lpsle...5lmg,291,342.673357,706.423357,degens
terra1lp2h4...wm6v,436.118181,11.61242,556.76014625,degens
terra1lp2rd...76zx,0.138666,0,0.1733325,degens
terra1lpgrq...h8v4,2.721394,0,3.4017425,degens
terra1lpprq...4wx9,0.15,0.03,0.2175,degens
terra1lql0s...jkhr,12.406137,0,15.50767125,degens
terra1lqlg3...wxec,404.340682,0,505.4258525,degens
terra1lqum2...d48x,34.058405,501.506895,544.07990125,degens
terra17lkkh...8cnl,0.020235,0.937092,0.96238575,degens
terra17lrjr...5cjh,0.459596,0.064864,0.639359,degens
terra17lpcu...6qe0,1.115558,21.001048,22.395495500000003,degens
terra1774au...qxvt,135.19,0,168.9875,degens
terra177wer...x0w3,0.870525,103.480136,104.56829225,degens
terra1778j3...9kxw,27.466123,0,34.33265375,degens
terra177943...tasj,9.353812,1.008951,12.701215999999999,degens
terra17aq6n...am7e,40.888642,57.074629,108.18543149999999,degens
terra17aq6y...jchd,140.921081,100,276.15135124999995,degens
terra17u4y9...df7l,1.005756,0.1,1.3571950000000002,degens
terra17uwzu...h687,313.710696,251.203359,643.341729,degens
terra17u9gv...kr6e,4324.423491,0,5405.52936375,degens
terra17uzra...5sly,10.662693,0,13.328366250000002,degens
terra17m7wf...rkxa,335.599986,252.702327,672.2023095,degens
terra17mexe...g6fd,1.913641,3004.358883,3006.75093425,degens
terra17mczu...28a6,10,6,18.5,degens
terra17mg4q...8mvf,1684.527245,960.017028,3065.67608425,degens
terra17m8jy...333n,5.048913,0.919995,7.23113625,degens
terra17mqzh...u4ge,0.223122,0.019569,0.2984715,degens
terra1768k3...ahwl,0.214568,0.09,0.35821000000000003,degens
terra17esr7...5kxa,0.201464,0.01,0.26183,degens
terra17e8nu...0xx7,43.292659,46.216999,100.33282275,degens
terra17eyuw...thw4,160.019582,0.1,200.1244775,degens
terra17epry...zduc,2412.627774,0,3015.7847175,degens
terra17c73p...7u4f,0.82,0.01,1.035,degens
terra17ca7p...2uk2,220.561652,2.647981,278.350046,degens
